,MODEL.BACKBONE.NAME,DATASET.ROI,score,defrost_score
0,2d_bdcnvgg_warp_3d,WB,0.03763843700289726,0.018000000000000002
1,2d_colorizer_warp_3d,WB,0.11336976289749146,0.057
2,2d_simclr_warp_3d,WB,0.1354057490825653,0.069
3,i3d_flow,WB,0.12481500953435898,0.063
4,i3d_rgb,WB,0.13621200621128082,0.069
5,3d_swin,WB,0.14083562791347504,0.069
6,audio_vggish,WB,0.05887971445918083,0.03
7,2d_pyconvsegnet_warp_3d,WB,0.13446110486984253,0.066
8,2d_densnet_warp_3d,WB,0.11835087090730667,0.06
9,2d_seg_swin_warp_3d,WB,0.11513315141201019,0.057
10,2d_moby_swin_warp_3d,WB,0.13363370299339294,0.066
